Date,AMC,AMD,AMZN,GME,NVDA,PLTR
2021-08-02,35.20000076293945,108.62999725341797,3331.47998046875,157.64999389648438,197.5,22.100000381469727
2021-08-03,33.59000015258789,112.55999755859375,3366.239990234375,152.75,198.14999389648438,22.239999771118164
2021-08-04,29.84000015258789,118.7699966430664,3354.719970703125,146.8000030517578,202.74000549316406,22.299999237060547
2021-08-05,33.5099983215332,112.3499984741211,3375.989990234375,153.44000244140625,206.3699951171875,22.520000457763672
2021-08-06,32.70000076293945,110.11000061035156,3344.93994140625,151.77000427246094,203.66000366210938,21.81999969482422
2021-08-09,33.79999923706055,107.58000183105469,3341.8701171875,161.1300048828125,202.9499969482422,22.93000030517578
2021-08-10,31.75,106.4800033569336,3320.679931640625,159.0500030517578,199.36000061035156,22.920000076293945
2021-08-11,31.549999237060547,107.68000030517578,3292.110107421875,158.77999877929688,196.99000549316406,22.350000381469727
2021-08-12,33.06999969482422,106.5,3303.5,162.35000610351562,199.0500030517578,24.889999389648438
2021-08-13,33.470001220703125,110.55000305175781,3293.969970703125,162.52000427246094,201.8800048828125,24.899999618530273
2021-08-16,35.689998626708984,107.4800033569336,3298.989990234375,163.92999267578125,199.5,24.5
2021-08-17,37.15999984741211,107.55999755859375,3241.9599609375,163.5500030517578,194.5800018310547,23.969999313354492
2021-08-18,36.54999923706055,103.44000244140625,3201.219970703125,157.0500030517578,190.39999389648438,25.280000686645508
2021-08-19,33.81999969482422,103.69999694824219,3187.75,152.89999389648438,197.97999572753906,24.15999984741211
2021-08-20,34.40999984741211,104.6500015258789,3199.949951171875,159.3000030517578,208.16000366210938,24.010000228881836
2021-08-23,36.779998779296875,108.7699966430664,3265.8701171875,164.88999938964844,219.5800018310547,24.81999969482422
2021-08-24,44.2599983215332,107.6500015258789,3305.780029296875,210.2899932861328,217.92999267578125,25.100000381469727
2021-08-25,43.959999084472656,108.30000305175781,3299.179931640625,199.64999389648438,222.1300048828125,24.350000381469727
2021-08-26,40.310001373291016,107.2699966430664,3316.0,205.22000122070312,220.67999267578125,24.8700008392334
2021-08-27,40.84000015258789,111.4000015258789,3349.6298828125,204.9499969482422,226.36000061035156,25.709999084472656
2021-08-30,43.33000183105469,111.31999969482422,3421.570068359375,209.1999969482422,226.8800048828125,25.760000228881836
